Date,twd,ip
1973-01-31,33.9689,44.3436
1973-02-28,32.5799,45.936
1973-03-31,31.5849,46.1156
1973-04-30,31.7681,45.9183
1973-05-31,31.5727,46.3099
1973-06-30,31.0864,47.3922
1973-07-31,30.638,45.1545
1973-08-31,30.9817,45.889
1973-09-30,31.0687,47.6393
1973-10-31,30.9637,48.1662
1973-11-30,31.9322,47.7252
1973-12-31,32.3099,46.3026
1974-01-31,33.2966,45.8276
1974-02-28,32.7832,46.5721
1974-03-31,32.2859,46.819
1974-04-30,31.9676,46.2217
1974-05-31,31.7863,47.0845
1974-06-30,32.1004,48.0232
1974-07-31,32.3673,45.7296
1974-08-31,32.817,46.2577
1974-09-30,32.98,47.4104
1974-10-31,32.9278,47.3817
1974-11-30,32.8329,45.1616
1974-12-31,32.835,42.7784
1975-01-31,32.6697,41.808
1975-02-28,32.3875,41.6298
1975-03-31,32.2864,41.2253
1975-04-30,32.7536,41.3288
1975-05-31,32.8936,41.1317
1975-06-30,33.0442,42.3287
1975-07-31,33.8632,40.5476
1975-08-31,34.4933,42.1807
1975-09-30,34.802,43.5416
1975-10-31,34.8849,43.7661
1975-11-30,34.898,43.2927
1975-12-31,35.1408,43.0354
1976-01-31,35.0989,43.4146
1976-02-29,35.0785,44.7111
1976-03-31,35.3543,45.0097
1976-04-30,35.579,44.6395
1976-05-31,35.6959,45.3761
1976-06-30,35.8105,46.3617
1976-07-31,35.6818,44.1804
1976-08-31,35.6569,45.4538
1976-09-30,36.0674,46.4785
1976-10-31,36.3137,46.7565
1976-11-30,36.7548,46.787
1976-12-31,36.8179,46.4931
1977-01-31,36.7763,46.0147
1977-02-28,36.9765,47.6518
1977-03-31,37.0694,48.5767
1977-04-30,36.97,48.5647
1977-05-31,37.0205,49.1374
1977-06-30,37.0311,50.5721
1977-07-31,36.771,48.1135
1977-08-31,37.0361,48.8817
1977-09-30,37.1626,50.2207
1977-10-31,36.889,50.5509
1977-11-30,36.6512,49.8665
1977-12-31,36.1587,49.2276
1978-01-31,35.9432,48.3784
1978-02-28,35.9357,49.6823
1978-03-31,35.7324,50.7804
1978-04-30,35.6907,51.8188
1978-05-31,35.9918,51.7033
1978-06-30,35.5401,53.0911
1978-07-31,34.8406,50.4069
1978-08-31,34.2486,51.5694
1978-09-30,34.3306,52.8974
1978-10-31,33.7305,53.5343
1978-11-30,34.4819,53.1147
1978-12-31,34.6557,52.7088
1979-01-31,34.656,52.071
1979-02-28,34.8596,53.5543
1979-03-31,34.9715,54.2291
1979-04-30,35.3069,52.5516
1979-05-31,35.5728,53.4102
1979-06-30,35.5731,54.4279
1979-07-31,35.0481,51.818
1979-08-31,35.2184,52.5744
1979-09-30,35.2723,53.5986
1979-10-31,35.724,53.9685
1979-11-30,36.2129,53.2073
1979-12-31,35.885,52.758
1980-01-31,35.86,52.7324
1980-02-29,36.2089,53.7445
1980-03-31,37.1465,53.9844
1980-04-30,37.4326,52.1277
1980-05-31,36.259,50.7527
1980-06-30,35.6922,51.0478
1980-07-31,35.7021,48.613
1980-08-31,36.1026,50.1377
1980-09-30,35.8811,51.577
1980-10-31,36.0536,52.1444
1980-11-30,36.7653,52.4504
1980-12-31,37.1358,52.3837
